Date,Start (ET),Visitor/Neutral,Home/Neutral
Sun Dec 1 2019,3:00p,Miami Heat,Brooklyn Nets
Sun Dec 1 2019,3:30p,Memphis Grizzlies,Minnesota Timberwolves
Sun Dec 1 2019,3:30p,Boston Celtics,New York Knicks
Sun Dec 1 2019,4:00p,Dallas Mavericks,Los Angeles Lakers
Sun Dec 1 2019,5:00p,San Antonio Spurs,Detroit Pistons
Sun Dec 1 2019,5:00p,Oklahoma City Thunder,New Orleans Pelicans
Sun Dec 1 2019,6:00p,Golden State Warriors,Orlando Magic
Sun Dec 1 2019,6:00p,Utah Jazz,Toronto Raptors
Sun Dec 1 2019,10:30p,Washington Wizards,Los Angeles Clippers
Mon Dec 2 2019,7:00p,Phoenix Suns,Charlotte Hornets
Mon Dec 2 2019,7:00p,Utah Jazz,Philadelphia 76ers
Mon Dec 2 2019,7:30p,Golden State Warriors,Atlanta Hawks
Mon Dec 2 2019,8:00p,Indiana Pacers,Memphis Grizzlies
Mon Dec 2 2019,8:00p,New York Knicks,Milwaukee Bucks
Mon Dec 2 2019,10:00p,Chicago Bulls,Sacramento Kings
Tue Dec 3 2019,7:00p,Detroit Pistons,Cleveland Cavaliers
Tue Dec 3 2019,7:00p,Orlando Magic,Washington Wizards
Tue Dec 3 2019,7:30p,Dallas Mavericks,New Orleans Pelicans
Tue Dec 3 2019,7:30p,Miami Heat,Toronto Raptors
Tue Dec 3 2019,8:30p,Houston Rockets,San Antonio Spurs
Tue Dec 3 2019,9:00p,Los Angeles Lakers,Denver Nuggets
Tue Dec 3 2019,10:00p,Portland Trail Blazers,Los Angeles Clippers
Wed Dec 4 2019,7:00p,Golden State Warriors,Charlotte Hornets
Wed Dec 4 2019,7:00p,Milwaukee Bucks,Detroit Pistons
Wed Dec 4 2019,7:00p,Phoenix Suns,Orlando Magic
Wed Dec 4 2019,7:30p,Brooklyn Nets,Atlanta Hawks
Wed Dec 4 2019,7:30p,Miami Heat,Boston Celtics
Wed Dec 4 2019,8:00p,Memphis Grizzlies,Chicago Bulls
Wed Dec 4 2019,8:00p,Indiana Pacers,Oklahoma City Thunder
Wed Dec 4 2019,8:30p,Minnesota Timberwolves,Dallas Mavericks
Wed Dec 4 2019,9:00p,Los Angeles Lakers,Utah Jazz
Wed Dec 4 2019,10:00p,Sacramento Kings,Portland Trail Blazers
Thu Dec 5 2019,7:00p,Philadelphia 76ers,Washington Wizards
Thu Dec 5 2019,7:30p,Denver Nuggets,New York Knicks
Thu Dec 5 2019,7:30p,Houston Rockets,Toronto Raptors
Thu Dec 5 2019,8:00p,Phoenix Suns,New Orleans Pelicans
Fri Dec 6 2019,7:00p,Brooklyn Nets,Charlotte Hornets
Fri Dec 6 2019,7:00p,Orlando Magic,Cleveland Cavaliers
Fri Dec 6 2019,7:00p,Indiana Pacers,Detroit Pistons
Fri Dec 6 2019,8:00p,Denver Nuggets,Boston Celtics
Fri Dec 6 2019,8:00p,Golden State Warriors,Chicago Bulls
Fri Dec 6 2019,8:00p,Washington Wizards,Miami Heat
Fri Dec 6 2019,8:00p,Minnesota Timberwolves,Oklahoma City Thunder
Fri Dec 6 2019,8:30p,Los Angeles Clippers,Milwaukee Bucks
Fri Dec 6 2019,8:30p,Sacramento Kings,San Antonio Spurs
Fri Dec 6 2019,10:30p,Los Angeles Lakers,Portland Trail Blazers
Sat Dec 7 2019,2:00p,New Orleans Pelicans,Dallas Mavericks
Sat Dec 7 2019,7:30p,Indiana Pacers,New York Knicks
Sat Dec 7 2019,7:30p,Cleveland Cavaliers,Philadelphia 76ers
Sat Dec 7 2019,8:00p,Phoenix Suns,Houston Rockets
Sat Dec 7 2019,10:00p,Memphis Grizzlies,Utah Jazz
Sun Dec 8 2019,3:00p,Denver Nuggets,Brooklyn Nets
Sun Dec 8 2019,5:00p,Atlanta Hawks,Charlotte Hornets
Sun Dec 8 2019,6:00p,Chicago Bulls,Miami Heat
Sun Dec 8 2019,6:00p,Toronto Raptors,Philadelphia 76ers
Sun Dec 8 2019,6:00p,Los Angeles Clippers,Washington Wizards
Sun Dec 8 2019,7:00p,Sacramento Kings,Dallas Mavericks
Sun Dec 8 2019,9:00p,Oklahoma City Thunder,Portland Trail Blazers
Sun Dec 8 2019,9:30p,Minnesota Timberwolves,Los Angeles Lakers
Mon Dec 9 2019,7:00p,Los Angeles Clippers,Indiana Pacers,1,9
Mon Dec 9 2019,7:30p,Cleveland Cavaliers,Boston Celtics,2,10
Mon Dec 9 2019,8:00p,Toronto Raptors,Chicago Bulls,3,11
Mon Dec 9 2019,8:00p,Sacramento Kings,Houston Rockets,4,12
Mon Dec 9 2019,8:00p,Orlando Magic,Milwaukee Bucks,5,13
Mon Dec 9 2019,8:00p,Detroit Pistons,New Orleans Pelicans,6,14
Mon Dec 9 2019,9:00p,Minnesota Timberwolves,Phoenix Suns,7,15
Mon Dec 9 2019,9:00p,Oklahoma City Thunder,Utah Jazz,7,16
Mon Dec 9 2019,10:30p,Memphis Grizzlies,Golden State Warriors,8,17
Tue Dec 10 2019,7:00p,Washington Wizards,Charlotte Hornets
Tue Dec 10 2019,7:00p,Denver Nuggets,Philadelphia 76ers
Tue Dec 10 2019,8:00p,Atlanta Hawks,Miami Heat
Tue Dec 10 2019,10:00p,New York Knicks,Portland Trail Blazers
Wed Dec 11 2019,7:00p,Houston Rockets,Cleveland Cavaliers
Wed Dec 11 2019,7:00p,Boston Celtics,Indiana Pacers
Wed Dec 11 2019,7:00p,Los Angeles Lakers,Orlando Magic
Wed Dec 11 2019,7:00p,Los Angeles Clippers,Toronto Raptors
Wed Dec 11 2019,7:30p,Charlotte Hornets,Brooklyn Nets
Wed Dec 11 2019,8:00p,Atlanta Hawks,Chicago Bulls
Wed Dec 11 2019,8:00p,Utah Jazz,Minnesota Timberwolves
Wed Dec 11 2019,9:00p,Memphis Grizzlies,Phoenix Suns
Wed Dec 11 2019,9:30p,New Orleans Pelicans,Milwaukee Bucks
Wed Dec 11 2019,10:00p,Oklahoma City Thunder,Sacramento Kings
Wed Dec 11 2019,10:30p,New York Knicks,Golden State Warriors
Thu Dec 12 2019,8:00p,Philadelphia 76ers,Boston Celtics
Thu Dec 12 2019,8:30p,Cleveland Cavaliers,San Antonio Spurs
Thu Dec 12 2019,9:00p,Dallas Mavericks,Detroit Pistons
Thu Dec 12 2019,10:30p,Portland Trail Blazers,Denver Nuggets
Fri Dec 13 2019,7:00p,Houston Rockets,Orlando Magic
Fri Dec 13 2019,7:00p,New Orleans Pelicans,Philadelphia 76ers
Fri Dec 13 2019,7:30p,Indiana Pacers,Atlanta Hawks
Fri Dec 13 2019,8:00p,Charlotte Hornets,Chicago Bulls
Fri Dec 13 2019,8:00p,Milwaukee Bucks,Memphis Grizzlies
Fri Dec 13 2019,8:00p,Los Angeles Lakers,Miami Heat
Fri Dec 13 2019,8:00p,Los Angeles Clippers,Minnesota Timberwolves
Fri Dec 13 2019,10:00p,New York Knicks,Sacramento Kings
Fri Dec 13 2019,10:30p,Golden State Warriors,Utah Jazz
Sat Dec 14 2019,5:00p,San Antonio Spurs,Phoenix Suns
Sat Dec 14 2019,7:30p,Brooklyn Nets,Toronto Raptors
Sat Dec 14 2019,8:00p,Los Angeles Clippers,Chicago Bulls
Sat Dec 14 2019,8:00p,Washington Wizards,Memphis Grizzlies
Sat Dec 14 2019,8:30p,Miami Heat,Dallas Mavericks
Sat Dec 14 2019,8:30p,Cleveland Cavaliers,Milwaukee Bucks
Sat Dec 14 2019,9:00p,Oklahoma City Thunder,Denver Nuggets
Sat Dec 14 2019,9:00p,Detroit Pistons,Houston Rockets
Sun Dec 15 2019,3:30p,Orlando Magic,New Orleans Pelicans
Sun Dec 15 2019,5:00p,Charlotte Hornets,Indiana Pacers
Sun Dec 15 2019,6:00p,Los Angeles Lakers,Atlanta Hawks
Sun Dec 15 2019,6:00p,Philadelphia 76ers,Brooklyn Nets
Sun Dec 15 2019,8:00p,New York Knicks,Denver Nuggets
Sun Dec 15 2019,8:30p,Sacramento Kings,Golden State Warriors
Mon Dec 16 2019,7:00p,Washington Wizards,Detroit Pistons
Mon Dec 16 2019,7:30p,Cleveland Cavaliers,Toronto Raptors
Mon Dec 16 2019,8:00p,San Antonio Spurs,Houston Rockets
Mon Dec 16 2019,8:00p,Miami Heat,Memphis Grizzlies
Mon Dec 16 2019,8:00p,Dallas Mavericks,Milwaukee Bucks
Mon Dec 16 2019,8:00p,Chicago Bulls,Oklahoma City Thunder
Mon Dec 16 2019,9:00p,Portland Trail Blazers,Phoenix Suns
Tue Dec 17 2019,7:00p,Sacramento Kings,Charlotte Hornets
Tue Dec 17 2019,7:00p,Los Angeles Lakers,Indiana Pacers
Tue Dec 17 2019,7:30p,Atlanta Hawks,New York Knicks
Tue Dec 17 2019,8:00p,Brooklyn Nets,New Orleans Pelicans
Tue Dec 17 2019,9:00p,Orlando Magic,Utah Jazz
Tue Dec 17 2019,10:30p,Phoenix Suns,Los Angeles Clippers
Wed Dec 18 2019,7:00p,Charlotte Hornets,Cleveland Cavaliers
Wed Dec 18 2019,7:00p,Toronto Raptors,Detroit Pistons
Wed Dec 18 2019,7:00p,Chicago Bulls,Washington Wizards
Wed Dec 18 2019,7:30p,Miami Heat,Philadelphia 76ers
Wed Dec 18 2019,8:00p,New Orleans Pelicans,Minnesota Timberwolves
Wed Dec 18 2019,8:00p,Memphis Grizzlies,Oklahoma City Thunder
Wed Dec 18 2019,8:30p,Boston Celtics,Dallas Mavericks
Wed Dec 18 2019,9:00p,Orlando Magic,Denver Nuggets
Wed Dec 18 2019,10:00p,Golden State Warriors,Portland Trail Blazers
Thu Dec 19 2019,7:30p,Utah Jazz,Atlanta Hawks
Thu Dec 19 2019,8:00p,Los Angeles Lakers,Milwaukee Bucks
Thu Dec 19 2019,8:30p,Brooklyn Nets,San Antonio Spurs
Thu Dec 19 2019,10:30p,Houston Rockets,Los Angeles Clippers
Fri Dec 20 2019,7:00p,Memphis Grizzlies,Cleveland Cavaliers
Fri Dec 20 2019,7:00p,Sacramento Kings,Indiana Pacers
Fri Dec 20 2019,7:30p,Detroit Pistons,Boston Celtics
Fri Dec 20 2019,7:30p,Washington Wizards,Toronto Raptors
Fri Dec 20 2019,8:00p,New York Knicks,Miami Heat
Fri Dec 20 2019,8:00p,Phoenix Suns,Oklahoma City Thunder
Fri Dec 20 2019,8:00p,Dallas Mavericks,Philadelphia 76ers
Fri Dec 20 2019,9:00p,Minnesota Timberwolves,Denver Nuggets
Fri Dec 20 2019,10:00p,Orlando Magic,Portland Trail Blazers
Fri Dec 20 2019,10:30p,New Orleans Pelicans,Golden State Warriors
Sat Dec 21 2019,5:00p,Utah Jazz,Charlotte Hornets
Sat Dec 21 2019,6:00p,Atlanta Hawks,Brooklyn Nets
Sat Dec 21 2019,7:00p,Chicago Bulls,Detroit Pistons
Sat Dec 21 2019,7:00p,Washington Wizards,Philadelphia 76ers
Sat Dec 21 2019,7:30p,Milwaukee Bucks,New York Knicks
Sat Dec 21 2019,8:00p,Sacramento Kings,Memphis Grizzlies
Sat Dec 21 2019,8:30p,Los Angeles Clippers,San Antonio Spurs
Sat Dec 21 2019,9:00p,Houston Rockets,Phoenix Suns
Sat Dec 21 2019,10:00p,Minnesota Timberwolves,Portland Trail Blazers
Sun Dec 22 2019,3:30p,Dallas Mavericks,Toronto Raptors
Sun Dec 22 2019,6:00p,Charlotte Hornets,Boston Celtics
Sun Dec 22 2019,7:00p,Indiana Pacers,Milwaukee Bucks
Sun Dec 22 2019,7:00p,Los Angeles Clippers,Oklahoma City Thunder
Sun Dec 22 2019,9:30p,Denver Nuggets,Los Angeles Lakers
Mon Dec 23 2019,7:00p,Atlanta Hawks,Cleveland Cavaliers
Mon Dec 23 2019,7:00p,Philadelphia 76ers,Detroit Pistons
Mon Dec 23 2019,7:00p,Toronto Raptors,Indiana Pacers
Mon Dec 23 2019,7:00p,Washington Wizards,New York Knicks
Mon Dec 23 2019,7:00p,Chicago Bulls,Orlando Magic
Mon Dec 23 2019,7:30p,Utah Jazz,Miami Heat
Mon Dec 23 2019,8:00p,San Antonio Spurs,Memphis Grizzlies
Mon Dec 23 2019,9:00p,Denver Nuggets,Phoenix Suns
Mon Dec 23 2019,10:00p,New Orleans Pelicans,Portland Trail Blazers
Mon Dec 23 2019,10:00p,Houston Rockets,Sacramento Kings
Mon Dec 23 2019,10:30p,Minnesota Timberwolves,Golden State Warriors
Wed Dec 25 2019,12:00p,Boston Celtics,Toronto Raptors
Wed Dec 25 2019,2:30p,Milwaukee Bucks,Philadelphia 76ers
Wed Dec 25 2019,5:00p,Houston Rockets,Golden State Warriors
Wed Dec 25 2019,8:00p,Los Angeles Clippers,Los Angeles Lakers
Wed Dec 25 2019,10:30p,New Orleans Pelicans,Denver Nuggets
Thu Dec 26 2019,7:00p,Washington Wizards,Detroit Pistons
Thu Dec 26 2019,8:00p,New York Knicks,Brooklyn Nets
Thu Dec 26 2019,8:00p,Memphis Grizzlies,Oklahoma City Thunder
Thu Dec 26 2019,8:30p,San Antonio Spurs,Dallas Mavericks
Thu Dec 26 2019,10:00p,Minnesota Timberwolves,Sacramento Kings
Thu Dec 26 2019,10:30p,Portland Trail Blazers,Utah Jazz
Fri Dec 27 2019,4:00p,Cleveland Cavaliers,Boston Celtics
Fri Dec 27 2019,7:00p,Oklahoma City Thunder,Charlotte Hornets
Fri Dec 27 2019,7:00p,Philadelphia 76ers,Orlando Magic
Fri Dec 27 2019,7:30p,Milwaukee Bucks,Atlanta Hawks
Fri Dec 27 2019,8:00p,Indiana Pacers,Miami Heat
Fri Dec 27 2019,10:30p,Phoenix Suns,Golden State Warriors
Sat Dec 28 2019,5:00p,Memphis Grizzlies,Denver Nuggets
Sat Dec 28 2019,7:00p,Toronto Raptors,Boston Celtics
Sat Dec 28 2019,7:00p,Indiana Pacers,New Orleans Pelicans
Sat Dec 28 2019,8:00p,Atlanta Hawks,Chicago Bulls
Sat Dec 28 2019,8:00p,Brooklyn Nets,Houston Rockets
Sat Dec 28 2019,8:00p,Philadelphia 76ers,Miami Heat
Sat Dec 28 2019,8:00p,Cleveland Cavaliers,Minnesota Timberwolves
Sat Dec 28 2019,8:00p,New York Knicks,Washington Wizards
Sat Dec 28 2019,8:30p,Dallas Mavericks,Golden State Warriors
Sat Dec 28 2019,8:30p,Orlando Magic,Milwaukee Bucks
Sat Dec 28 2019,8:30p,Detroit Pistons,San Antonio Spurs
Sat Dec 28 2019,9:00p,Phoenix Suns,Sacramento Kings
Sat Dec 28 2019,10:00p,Los Angeles Lakers,Portland Trail Blazers
Sat Dec 28 2019,10:30p,Utah Jazz,Los Angeles Clippers
Sun Dec 29 2019,6:00p,Oklahoma City Thunder,Toronto Raptors
Sun Dec 29 2019,8:00p,Sacramento Kings,Denver Nuggets
Sun Dec 29 2019,8:00p,Charlotte Hornets,Memphis Grizzlies
Sun Dec 29 2019,8:00p,Houston Rockets,New Orleans Pelicans
Sun Dec 29 2019,9:30p,Dallas Mavericks,Los Angeles Lakers
Mon Dec 30 2019,7:00p,Atlanta Hawks,Orlando Magic
Mon Dec 30 2019,7:00p,Miami Heat,Washington Wizards
Mon Dec 30 2019,8:00p,Milwaukee Bucks,Chicago Bulls
Mon Dec 30 2019,8:00p,Brooklyn Nets,Minnesota Timberwolves
Mon Dec 30 2019,9:00p,Detroit Pistons,Utah Jazz
Mon Dec 30 2019,10:00p,Phoenix Suns,Portland Trail Blazers
Tue Dec 31 2019,3:00p,Boston Celtics,Charlotte Hornets
Tue Dec 31 2019,3:00p,Philadelphia 76ers,Indiana Pacers
Tue Dec 31 2019,5:00p,Los Angeles Clippers,Sacramento Kings
Tue Dec 31 2019,7:00p,Denver Nuggets,Houston Rockets
Tue Dec 31 2019,7:00p,Golden State Warriors,San Antonio Spurs
Tue Dec 31 2019,7:00p,Cleveland Cavaliers,Toronto Raptors
Tue Dec 31 2019,8:00p,Dallas Mavericks,Oklahoma City Thunder
