Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Tue Oct 22 2019,8:00p,New Orleans Pelicans,Toronto Raptors,73.65%,26.35%
Tue Oct 22 2019,10:30p,Los Angeles Lakers,Los Angeles Clippers,73.15%,26.85%
Wed Oct 23 2019,7:00p,Chicago Bulls,Charlotte Hornets,77.85%,22.15%
Wed Oct 23 2019,7:00p,Detroit Pistons,Indiana Pacers,75.69%,24.31%
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,Orlando Magic,76.62%,23.38%
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,Brooklyn Nets,67.24%,32.76%
Wed Oct 23 2019,7:30p,Memphis Grizzlies,Miami Heat,64.79%,35.21%
Wed Oct 23 2019,7:30p,Boston Celtics,Philadelphia 76ers,62.50%,37.50%
Wed Oct 23 2019,8:30p,Washington Wizards,Dallas Mavericks,62.15%,37.85%
Wed Oct 23 2019,8:30p,New York Knicks,San Antonio Spurs,81.34%,18.66%
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,Utah Jazz,70.97%,29.03%
Wed Oct 23 2019,10:00p,Sacramento Kings,Phoenix Suns,47.92%,52.08%
Wed Oct 23 2019,10:00p,Denver Nuggets,Portland Trail Blazers,74.25%,25.75%
Thu Oct 24 2019,7:00p,Atlanta Hawks,Detroit Pistons,67.19%,32.81%
Thu Oct 24 2019,8:00p,Milwaukee Bucks,Houston Rockets,57.25%,42.75%
Thu Oct 24 2019,10:30p,Los Angeles Clippers,Golden State Warriors,61.55%,38.45%
Fri Oct 25 2019,7:00p,Toronto Raptors,Boston Celtics,49.58%,50.42%
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,Charlotte Hornets,60.36%,39.64%
Fri Oct 25 2019,7:30p,New York Knicks,Brooklyn Nets,67.66%,32.34%
Fri Oct 25 2019,8:00p,Chicago Bulls,Memphis Grizzlies,55.88%,44.12%
Fri Oct 25 2019,8:00p,Dallas Mavericks,New Orleans Pelicans,44.76%,55.24%
Fri Oct 25 2019,8:00p,Washington Wizards,Oklahoma City Thunder,63.32%,36.68%
Fri Oct 25 2019,9:00p,Phoenix Suns,Denver Nuggets,56.72%,43.28%
Fri Oct 25 2019,10:00p,Portland Trail Blazers,Sacramento Kings,54.38%,45.62%
Fri Oct 25 2019,10:30p,Utah Jazz,Los Angeles Lakers,36.29%,63.71%
Sat Oct 26 2019,5:00p,Miami Heat,Milwaukee Bucks,67.97%,32.03%
Sat Oct 26 2019,7:00p,Philadelphia 76ers,Detroit Pistons,32.20%,67.80%
Sat Oct 26 2019,7:30p,Orlando Magic,Atlanta Hawks,57.20%,42.80%
Sat Oct 26 2019,7:30p,Boston Celtics,New York Knicks,32.59%,67.41%
Sat Oct 26 2019,8:00p,Toronto Raptors,Chicago Bulls,41.41%,58.59%
Sat Oct 26 2019,8:00p,Indiana Pacers,Cleveland Cavaliers,38.80%,61.20%
Sat Oct 26 2019,8:00p,New Orleans Pelicans,Houston Rockets,62.73%,37.27%
Sat Oct 26 2019,8:30p,Washington Wizards,San Antonio Spurs,78.60%,21.40%
Sat Oct 26 2019,9:00p,Sacramento Kings,Utah Jazz,78.09%,21.91%
Sat Oct 26 2019,10:00p,Los Angeles Clippers,Phoenix Suns,31.27%,68.73%
Sun Oct 27 2019,3:30p,Golden State Warriors,Oklahoma City Thunder,44.45%,55.55%
Sun Oct 27 2019,6:00p,Brooklyn Nets,Memphis Grizzlies,33.48%,66.52%
Sun Oct 27 2019,7:00p,Portland Trail Blazers,Dallas Mavericks,68.79%,31.21%
Sun Oct 27 2019,7:00p,Miami Heat,Minnesota Timberwolves,50.03%,49.97%
Sun Oct 27 2019,9:30p,Charlotte Hornets,Los Angeles Lakers,68.76%,31.24%
Mon Oct 28 2019,7:00p,Chicago Bulls,New York Knicks,46.82%,53.18%
Mon Oct 28 2019,7:00p,Indiana Pacers,Detroit Pistons,60.24%,39.76%
Mon Oct 28 2019,7:30p,Orlando Magic,Toronto Raptors,80.03%,19.97%
Mon Oct 28 2019,7:30p,Philadelphia 76ers,Atlanta Hawks,47.47%,52.53%
Mon Oct 28 2019,8:00p,Oklahoma City Thunder,Houston Rockets,70.91%,29.09%
Mon Oct 28 2019,8:00p,Cleveland Cavaliers,Milwaukee Bucks,77.32%,22.68%
Mon Oct 28 2019,8:00p,Golden State Warriors,New Orleans Pelicans,50.44%,49.56%
Mon Oct 28 2019,8:30p,Portland Trail Blazers,San Antonio Spurs,71.70%,28.30%
Mon Oct 28 2019,10:00p,Utah Jazz,Phoenix Suns,62.45%,37.55%
Mon Oct 28 2019,10:00p,Denver Nuggets,Sacramento Kings,26.38%,73.62%
Mon Oct 28 2019,10:30p,Charlotte Hornets,Los Angeles Clippers,82.02%,17.98%
Tue Oct 29 2019,7:30p,Atlanta Hawks,Miami Heat,55.75%,44.25%
Tue Oct 29 2019,9:00p,Dallas Mavericks,Denver Nuggets,68.68%,31.32%
Tue Oct 29 2019,10:30p,Memphis Grizzlies,Los Angeles Lakers,79.52%,20.48%
Wed Oct 30 2019,7:00p,Chicago Bulls,Cleveland Cavaliers,63.95%,36.05%
Wed Oct 30 2019,7:00p,New York Knicks,Orlando Magic,77.00%,23.00%
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,Philadelphia 76ers,64.11%,35.89%
Wed Oct 30 2019,7:30p,Milwaukee Bucks,Boston Celtics,42.42%,57.58%
Wed Oct 30 2019,7:30p,Indiana Pacers,Brooklyn Nets,75.48%,24.52%
Wed Oct 30 2019,7:30p,Detroit Pistons,Toronto Raptors,77.39%,22.61%
Wed Oct 30 2019,8:00p,Portland Trail Blazers,Oklahoma City Thunder,50.82%,49.18%
Wed Oct 30 2019,8:00p,Houston Rockets,Washington Wizards,40.35%,59.65%
Wed Oct 30 2019,10:00p,Charlotte Hornets,Sacramento Kings,41.13%,58.87%
Wed Oct 30 2019,10:00p,Los Angeles Clippers,Utah Jazz,52.65%,47.35%
Wed Oct 30 2019,10:30p,Phoenix Suns,Golden State Warriors,60.08%,39.92%
Thu Oct 31 2019,7:00p,Miami Heat,Atlanta Hawks,40.40%,59.60%
Thu Oct 31 2019,9:30p,Denver Nuggets,New Orleans Pelicans,38.72%,61.28%
Thu Oct 31 2019,10:30p,San Antonio Spurs,Los Angeles Clippers,70.90%,29.10%
Fri Nov 1 2019,7:00p,Houston Rockets,Brooklyn Nets,30.19%,69.81%
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,Indiana Pacers,55.30%,44.70%
Fri Nov 1 2019,7:00p,Milwaukee Bucks,Orlando Magic,41.06%,58.94%
Fri Nov 1 2019,7:30p,New York Knicks,Boston Celtics,83.70%,16.30%
Fri Nov 1 2019,8:00p,Detroit Pistons,Chicago Bulls,33.49%,66.51%
Fri Nov 1 2019,9:30p,Los Angeles Lakers,Dallas Mavericks,58.34%,41.66%
Fri Nov 1 2019,10:00p,Utah Jazz,Sacramento Kings,25.43%,74.57%
Fri Nov 1 2019,10:30p,San Antonio Spurs,Golden State Warriors,51.98%,48.02%
Sat Nov 2 2019,5:00p,New Orleans Pelicans,Oklahoma City Thunder,49.39%,50.61%
Sat Nov 2 2019,7:00p,Brooklyn Nets,Detroit Pistons,41.44%,58.56%
Sat Nov 2 2019,7:00p,Denver Nuggets,Orlando Magic,45.41%,54.59%
Sat Nov 2 2019,8:00p,Phoenix Suns,Memphis Grizzlies,37.02%,62.98%
Sat Nov 2 2019,8:00p,Toronto Raptors,Milwaukee Bucks,60.04%,39.96%
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,Washington Wizards,42.94%,57.06%
Sat Nov 2 2019,8:30p,Charlotte Hornets,Golden State Warriors,54.45%,45.55%
Sat Nov 2 2019,10:00p,Philadelphia 76ers,Portland Trail Blazers,35.94%,64.06%
Sun Nov 3 2019,5:00p,Chicago Bulls,Indiana Pacers,70.25%,29.75%
Sun Nov 3 2019,6:00p,Houston Rockets,Miami Heat,69.18%,30.82%
Sun Nov 3 2019,6:00p,Sacramento Kings,New York Knicks,60.49%,39.51%
Sun Nov 3 2019,7:00p,Los Angeles Lakers,San Antonio Spurs,66.58%,33.42%
Sun Nov 3 2019,7:30p,Dallas Mavericks,Cleveland Cavaliers,37.33%,62.67%
Sun Nov 3 2019,9:00p,Utah Jazz,Los Angeles Clippers,70.94%,29.06%
Mon Nov 4 2019,7:00p,Detroit Pistons,Washington Wizards,46.15%,53.85%
Mon Nov 4 2019,7:30p,New Orleans Pelicans,Brooklyn Nets,63.14%,36.86%
Mon Nov 4 2019,8:00p,Houston Rockets,Memphis Grizzlies,34.55%,65.45%
Mon Nov 4 2019,8:00p,Milwaukee Bucks,Minnesota Timberwolves,52.42%,47.58%
Mon Nov 4 2019,9:00p,Philadelphia 76ers,Phoenix Suns,41.58%,58.42%
Mon Nov 4 2019,10:30p,Portland Trail Blazers,Golden State Warriors,32.67%,67.33%
Tue Nov 5 2019,7:00p,Indiana Pacers,Charlotte Hornets,53.94%,46.06%
Tue Nov 5 2019,7:00p,Boston Celtics,Cleveland Cavaliers,34.77%,65.23%
Tue Nov 5 2019,7:30p,San Antonio Spurs,Atlanta Hawks,40.90%,59.10%
Tue Nov 5 2019,8:00p,Los Angeles Lakers,Chicago Bulls,31.98%,68.02%
Tue Nov 5 2019,8:00p,Orlando Magic,Oklahoma City Thunder,68.61%,31.39%
Tue Nov 5 2019,9:00p,Miami Heat,Denver Nuggets,35.41%,64.59%
Wed Nov 6 2019,7:00p,New York Knicks,Detroit Pistons,77.26%,22.74%
Wed Nov 6 2019,7:00p,Washington Wizards,Indiana Pacers,58.14%,41.86%
Wed Nov 6 2019,7:30p,Chicago Bulls,Atlanta Hawks,70.65%,29.35%
Wed Nov 6 2019,7:30p,Golden State Warriors,Houston Rockets,72.38%,27.62%
Wed Nov 6 2019,7:30p,Sacramento Kings,Toronto Raptors,83.73%,16.27%
Wed Nov 6 2019,8:00p,Minnesota Timberwolves,Memphis Grizzlies,33.91%,66.09%
Wed Nov 6 2019,8:30p,Orlando Magic,Dallas Mavericks,79.43%,20.57%
Wed Nov 6 2019,9:00p,Philadelphia 76ers,Utah Jazz,50.66%,49.34%
Wed Nov 6 2019,10:00p,Milwaukee Bucks,Los Angeles Clippers,46.14%,53.86%
Thu Nov 7 2019,8:00p,Boston Celtics,Charlotte Hornets,41.03%,58.97%
Thu Nov 7 2019,8:30p,Oklahoma City Thunder,San Antonio Spurs,74.21%,25.79%
Thu Nov 7 2019,9:00p,Miami Heat,Phoenix Suns,54.79%,45.21%
Thu Nov 7 2019,10:30p,Portland Trail Blazers,Los Angeles Clippers,67.00%,33.00%
Fri Nov 8 2019,7:00p,Detroit Pistons,Indiana Pacers,57.07%,42.93%
Fri Nov 8 2019,7:00p,Memphis Grizzlies,Orlando Magic,60.30%,39.70%
Fri Nov 8 2019,7:00p,Cleveland Cavaliers,Washington Wizards,68.58%,31.42%
Fri Nov 8 2019,7:30p,Sacramento Kings,Atlanta Hawks,65.58%,34.42%
Fri Nov 8 2019,8:00p,Golden State Warriors,Minnesota Timberwolves,74.65%,25.35%
Fri Nov 8 2019,8:00p,Toronto Raptors,New Orleans Pelicans,33.01%,66.99%
Fri Nov 8 2019,8:30p,New York Knicks,Dallas Mavericks,82.07%,17.93%
Fri Nov 8 2019,9:00p,Philadelphia 76ers,Denver Nuggets,52.77%,47.23%
Fri Nov 8 2019,9:00p,Milwaukee Bucks,Utah Jazz,37.12%,62.88%
Fri Nov 8 2019,10:00p,Brooklyn Nets,Portland Trail Blazers,40.91%,59.09%
Fri Nov 8 2019,10:30p,Miami Heat,Los Angeles Lakers,59.63%,40.37%
Sat Nov 9 2019,5:00p,Boston Celtics,San Antonio Spurs,50.88%,49.12%
Sat Nov 9 2019,7:00p,New Orleans Pelicans,Charlotte Hornets,56.09%,43.91%
Sat Nov 9 2019,8:00p,Houston Rockets,Chicago Bulls,33.52%,66.48%
Sat Nov 9 2019,8:00p,Dallas Mavericks,Memphis Grizzlies,31.05%,68.95%
Sat Nov 9 2019,8:00p,Golden State Warriors,Oklahoma City Thunder,70.46%,29.54%
Sun Nov 10 2019,3:30p,Denver Nuggets,Minnesota Timberwolves,60.52%,39.48%
Sun Nov 10 2019,6:00p,Indiana Pacers,Orlando Magic,49.29%,50.71%
Sun Nov 10 2019,6:00p,Charlotte Hornets,Philadelphia 76ers,77.28%,22.72%
Sun Nov 10 2019,7:00p,Milwaukee Bucks,Oklahoma City Thunder,36.44%,63.56%
Sun Nov 10 2019,7:30p,Cleveland Cavaliers,New York Knicks,48.96%,51.04%
Sun Nov 10 2019,8:00p,Brooklyn Nets,Phoenix Suns,49.70%,50.30%
Sun Nov 10 2019,9:00p,Atlanta Hawks,Portland Trail Blazers,59.68%,40.32%
Sun Nov 10 2019,9:30p,Toronto Raptors,Los Angeles Lakers,54.99%,45.01%
Mon Nov 11 2019,7:00p,Minnesota Timberwolves,Detroit Pistons,58.52%,41.48%
Mon Nov 11 2019,7:30p,Dallas Mavericks,Boston Celtics,74.68%,25.32%
Mon Nov 11 2019,7:30p,Memphis Grizzlies,San Antonio Spurs,78.23%,21.77%
Mon Nov 11 2019,8:00p,Houston Rockets,New Orleans Pelicans,31.70%,68.30%
Mon Nov 11 2019,10:30p,Utah Jazz,Golden State Warriors,37.81%,62.19%
Mon Nov 11 2019,10:30p,Toronto Raptors,Los Angeles Clippers,42.40%,57.60%
Tue Nov 12 2019,7:00p,Oklahoma City Thunder,Indiana Pacers,71.85%,28.15%
Tue Nov 12 2019,7:00p,Cleveland Cavaliers,Philadelphia 76ers,78.26%,21.74%
Tue Nov 12 2019,7:30p,Detroit Pistons,Miami Heat,78.71%,21.29%
Tue Nov 12 2019,8:00p,New York Knicks,Chicago Bulls,62.85%,37.15%
Tue Nov 12 2019,9:00p,Atlanta Hawks,Denver Nuggets,75.03%,24.97%
Tue Nov 12 2019,9:00p,Los Angeles Lakers,Phoenix Suns,68.39%,31.61%
Tue Nov 12 2019,9:00p,Brooklyn Nets,Utah Jazz,67.30%,32.70%
Tue Nov 12 2019,10:00p,Portland Trail Blazers,Sacramento Kings,43.53%,56.47%
Wed Nov 13 2019,7:00p,Memphis Grizzlies,Charlotte Hornets,54.82%,45.18%
Wed Nov 13 2019,7:00p,Philadelphia 76ers,Orlando Magic,37.28%,62.72%
Wed Nov 13 2019,7:30p,Washington Wizards,Boston Celtics,86.02%,13.98%
Wed Nov 13 2019,7:30p,Los Angeles Clippers,Houston Rockets,74.47%,25.53%
Wed Nov 13 2019,8:00p,San Antonio Spurs,Minnesota Timberwolves,71.05%,28.95%
Wed Nov 13 2019,10:00p,Golden State Warriors,Los Angeles Lakers,82.38%,17.62%
Wed Nov 13 2019,10:00p,Toronto Raptors,Portland Trail Blazers,33.59%,66.41%
Thu Nov 14 2019,6:00p,Miami Heat,Cleveland Cavaliers,31.66%,68.34%
Thu Nov 14 2019,8:00p,Chicago Bulls,Milwaukee Bucks,82.78%,17.22%
Thu Nov 14 2019,8:00p,Los Angeles Clippers,New Orleans Pelicans,47.30%,52.70%
Thu Nov 14 2019,8:00p,Dallas Mavericks,New York Knicks,27.20%,72.80%
Thu Nov 14 2019,9:00p,Atlanta Hawks,Phoenix Suns,77.40%,22.60%
Thu Nov 14 2019,10:30p,Brooklyn Nets,Denver Nuggets,56.35%,43.65%
Fri Nov 15 2019,7:00p,Detroit Pistons,Charlotte Hornets,37.59%,62.41%
Fri Nov 15 2019,7:00p,San Antonio Spurs,Orlando Magic,53.09%,46.91%
Fri Nov 15 2019,8:00p,Indiana Pacers,Houston Rockets,80.41%,19.59%
Fri Nov 15 2019,8:00p,Utah Jazz,Memphis Grizzlies,43.09%,56.91%
Fri Nov 15 2019,8:00p,Washington Wizards,Minnesota Timberwolves,82.28%,17.72%
Fri Nov 15 2019,8:00p,Philadelphia 76ers,Oklahoma City Thunder,50.39%,49.61%
Fri Nov 15 2019,10:30p,Boston Celtics,Golden State Warriors,23.29%,76.71%
Fri Nov 15 2019,10:30p,Sacramento Kings,Los Angeles Lakers,82.33%,17.67%
Sat Nov 16 2019,6:00p,Brooklyn Nets,Chicago Bulls,41.12%,58.88%
Sat Nov 16 2019,7:00p,Milwaukee Bucks,Indiana Pacers,42.11%,57.89%
Sat Nov 16 2019,7:30p,Charlotte Hornets,New York Knicks,42.98%,57.02%
Sat Nov 16 2019,8:00p,New Orleans Pelicans,Miami Heat,81.31%,18.69%
Sat Nov 16 2019,8:00p,Houston Rockets,Minnesota Timberwolves,38.07%,61.93%
Sat Nov 16 2019,8:30p,Toronto Raptors,Dallas Mavericks,39.99%,60.01%
Sat Nov 16 2019,8:30p,Portland Trail Blazers,San Antonio Spurs,69.46%,30.54%
Sat Nov 16 2019,10:30p,Atlanta Hawks,Los Angeles Clippers,75.17%,24.83%
Sun Nov 17 2019,3:00p,Philadelphia 76ers,Cleveland Cavaliers,41.89%,58.11%
Sun Nov 17 2019,3:30p,Boston Celtics,Sacramento Kings,26.00%,74.00%
Sun Nov 17 2019,6:00p,Denver Nuggets,Memphis Grizzlies,50.53%,49.47%
Sun Nov 17 2019,6:00p,Washington Wizards,Orlando Magic,61.34%,38.66%
Sun Nov 17 2019,7:00p,Golden State Warriors,New Orleans Pelicans,72.22%,27.78%
Sun Nov 17 2019,9:30p,Atlanta Hawks,Los Angeles Lakers,84.64%,15.36%
Mon Nov 18 2019,7:00p,Cleveland Cavaliers,New York Knicks,54.29%,45.71%
Mon Nov 18 2019,7:30p,Indiana Pacers,Brooklyn Nets,68.01%,31.99%
Mon Nov 18 2019,7:30p,Charlotte Hornets,Toronto Raptors,79.81%,20.19%
Mon Nov 18 2019,8:00p,Milwaukee Bucks,Chicago Bulls,24.85%,75.15%
Mon Nov 18 2019,8:00p,Portland Trail Blazers,Houston Rockets,83.85%,16.15%
Mon Nov 18 2019,8:30p,San Antonio Spurs,Dallas Mavericks,75.09%,24.91%
Mon Nov 18 2019,9:00p,Boston Celtics,Phoenix Suns,53.53%,46.47%
Mon Nov 18 2019,9:00p,Minnesota Timberwolves,Utah Jazz,68.42%,31.58%
Mon Nov 18 2019,10:30p,Oklahoma City Thunder,Los Angeles Clippers,76.96%,23.04%
Tue Nov 19 2019,8:00p,Golden State Warriors,Memphis Grizzlies,69.73%,30.27%
Tue Nov 19 2019,8:00p,Portland Trail Blazers,New Orleans Pelicans,62.62%,37.38%
Tue Nov 19 2019,10:00p,Phoenix Suns,Sacramento Kings,33.54%,66.46%
Tue Nov 19 2019,10:30p,Oklahoma City Thunder,Los Angeles Lakers,82.90%,17.10%
Wed Nov 20 2019,7:00p,New York Knicks,Philadelphia 76ers,81.07%,18.93%
Wed Nov 20 2019,7:00p,San Antonio Spurs,Washington Wizards,59.82%,40.18%
Wed Nov 20 2019,7:30p,Milwaukee Bucks,Atlanta Hawks,22.76%,77.24%
Wed Nov 20 2019,7:30p,Charlotte Hornets,Brooklyn Nets,67.80%,32.20%
Wed Nov 20 2019,7:30p,Golden State Warriors,Dallas Mavericks,80.82%,19.18%
Wed Nov 20 2019,7:30p,Cleveland Cavaliers,Miami Heat,85.27%,14.73%
Wed Nov 20 2019,7:30p,Orlando Magic,Toronto Raptors,83.75%,16.25%
Wed Nov 20 2019,8:00p,Detroit Pistons,Chicago Bulls,39.16%,60.84%
Wed Nov 20 2019,8:00p,Utah Jazz,Minnesota Timberwolves,61.27%,38.73%
Wed Nov 20 2019,9:00p,Houston Rockets,Denver Nuggets,46.91%,53.09%
Wed Nov 20 2019,10:00p,Boston Celtics,Los Angeles Clippers,52.03%,47.97%
Thu Nov 21 2019,8:00p,Portland Trail Blazers,Milwaukee Bucks,85.36%,14.64%
Thu Nov 21 2019,10:30p,New Orleans Pelicans,Phoenix Suns,64.13%,35.87%
Fri Nov 22 2019,7:00p,Atlanta Hawks,Detroit Pistons,67.43%,32.57%
Fri Nov 22 2019,7:00p,Charlotte Hornets,Washington Wizards,69.26%,30.74%
Fri Nov 22 2019,7:30p,Sacramento Kings,Brooklyn Nets,59.95%,40.05%
Fri Nov 22 2019,8:00p,Miami Heat,Chicago Bulls,28.39%,71.61%
Fri Nov 22 2019,8:00p,Los Angeles Lakers,Oklahoma City Thunder,39.11%,60.89%
Fri Nov 22 2019,8:00p,San Antonio Spurs,Philadelphia 76ers,77.82%,22.18%
Fri Nov 22 2019,8:30p,Cleveland Cavaliers,Dallas Mavericks,82.69%,17.31%
Fri Nov 22 2019,9:00p,Boston Celtics,Denver Nuggets,54.44%,45.56%
Fri Nov 22 2019,9:00p,Golden State Warriors,Utah Jazz,80.05%,19.95%
Fri Nov 22 2019,10:30p,Houston Rockets,Los Angeles Clippers,54.50%,45.50%
Sat Nov 23 2019,5:00p,Phoenix Suns,Minnesota Timberwolves,45.95%,54.05%
Sat Nov 23 2019,7:00p,Chicago Bulls,Charlotte Hornets,54.78%,45.22%
Sat Nov 23 2019,7:00p,Orlando Magic,Indiana Pacers,74.87%,25.13%
Sat Nov 23 2019,7:30p,Toronto Raptors,Atlanta Hawks,25.59%,74.41%
Sat Nov 23 2019,7:30p,San Antonio Spurs,New York Knicks,50.59%,49.41%
Sat Nov 23 2019,7:30p,Miami Heat,Philadelphia 76ers,42.89%,57.11%
Sat Nov 23 2019,8:00p,Portland Trail Blazers,Cleveland Cavaliers,40.63%,59.37%
Sat Nov 23 2019,8:00p,Los Angeles Lakers,Memphis Grizzlies,32.91%,67.09%
Sat Nov 23 2019,8:30p,Detroit Pistons,Milwaukee Bucks,84.34%,15.66%
Sat Nov 23 2019,9:00p,New Orleans Pelicans,Utah Jazz,64.52%,35.48%
Sun Nov 24 2019,3:30p,Dallas Mavericks,Houston Rockets,63.50%,36.50%
Sun Nov 24 2019,6:00p,Brooklyn Nets,New York Knicks,39.03%,60.97%
Sun Nov 24 2019,6:00p,Sacramento Kings,Washington Wizards,70.19%,29.81%
Sun Nov 24 2019,8:00p,Phoenix Suns,Denver Nuggets,58.50%,41.50%
Sun Nov 24 2019,9:00p,New Orleans Pelicans,Los Angeles Clippers,71.25%,28.75%
Mon Nov 25 2019,7:00p,Brooklyn Nets,Cleveland Cavaliers,35.42%,64.58%
Mon Nov 25 2019,7:00p,Orlando Magic,Detroit Pistons,66.78%,33.22%
